GivenName,sn,department,l,st,ObjectClass,UserAccountControl,DN,sAMAccountName,displayname,cn,mail,userprincipalname
Clifford,Neal,Projects,Greenville,SC,user,512,"CN=Clifford Neal,CN=Users,DC=ABSCorp,DC=com",CNeal,Clifford Neal,Clifford Neal,CNeal@abscorp.com,CNeal@abscorp.com
Bruce,Nolan,Projects,Greenville,SC,user,512,"CN=Bruce Nolan,CN=Users,DC=ABSCorp,DC=com",BNolan,Bruce Nolan,Bruce Nolan,BNolan@abscorp.com,BNolan@abscorp.com
Paul,Oliver,Projects,Greenville,SC,user,512,"CN=Paul Oliver,CN=Users,DC=ABSCorp,DC=com",POliver,Paul Oliver,Paul Oliver,POliver@abscorp.com,POliver@abscorp.com
Mary,Ortiz,Projects,Greenville,SC,user,512,"CN=Mary Ortiz,CN=Users,DC=ABSCorp,DC=com",MOrtiz,Mary Ortiz,Mary Ortiz,MOrtiz@abscorp.com,MOrtiz@abscorp.com
Diane,Owens,Projects,Greenville,SC,user,512,"CN=Diane Owens,CN=Users,DC=ABSCorp,DC=com",DOwens,Diane Owens,Diane Owens,DOwens@abscorp.com,DOwens@abscorp.com
Matthew,Owens,Projects,Greenville,SC,user,512,"CN=Matthew Owens,CN=Users,DC=ABSCorp,DC=com",MOwens,Matthew Owens,Matthew Owens,MOwens@abscorp.com,MOwens@abscorp.com
Javier,Parker,Projects,Greenville,SC,user,512,"CN=Javier Parker,CN=Users,DC=ABSCorp,DC=com",JParker,Javier Parker,Javier Parker,JParker@abscorp.com,JParker@abscorp.com
Maria,Parks,Management,Greenville,SC,user,512,"CN=Maria Parks,CN=Users,DC=ABSCorp,DC=com",MParks,Maria Parks,Maria Parks,MParks@abscorp.com,MParks@abscorp.com
Carol,Parks,Projects,Greenville,SC,user,512,"CN=Carol Parks,CN=Users,DC=ABSCorp,DC=com",CParks,Carol Parks,Carol Parks,CParks@abscorp.com,CParks@abscorp.com
Raul,Parrish,Projects,Greenville,SC,user,512,"CN=Raul Parrish,CN=Users,DC=ABSCorp,DC=com",RParrish,Raul Parrish,Raul Parrish,RParrish@abscorp.com,RParrish@abscorp.com
Daniel,Perez,Projects,Greenville,SC,user,512,"CN=Daniel Perez,CN=Users,DC=ABSCorp,DC=com",DPerez,Daniel Perez,Daniel Perez,DPerez@abscorp.com,DPerez@abscorp.com
Martha,Perez,Projects,Greenville,SC,user,512,"CN=Martha Perez,CN=Users,DC=ABSCorp,DC=com",MPerez,Martha Perez,Martha Perez,MPerez@abscorp.com,MPerez@abscorp.com
Angel,Peters,Projects,Greenville,SC,user,512,"CN=Angel Peters,CN=Users,DC=ABSCorp,DC=com",APeters,Angel Peters,Angel Peters,APeters@abscorp.com,APeters@abscorp.com
Nancy,Phelps,Sales,Greenville,SC,user,512,"CN=Nancy Phelps,CN=Users,DC=ABSCorp,DC=com",NPhelps,Nancy Phelps,Nancy Phelps,NPhelps@abscorp.com,NPhelps@abscorp.com
Walter,Powell,Management,Greenville,SC,user,512,"CN=Walter Powell,CN=Users,DC=ABSCorp,DC=com",WPowell,Walter Powell,Walter Powell,WPowell@abscorp.com,WPowell@abscorp.com
David,Powell,Projects,Greenville,SC,user,512,"CN=David Powell,CN=Users,DC=ABSCorp,DC=com",DPowell,David Powell,David Powell,DPowell@abscorp.com,DPowell@abscorp.com
Patricia,Preston,IT,Greenville,SC,user,512,"CN=Patricia Preston,CN=Users,DC=ABSCorp,DC=com",PPreston,Patricia Preston,Patricia Preston,PPreston@abscorp.com,PPreston@abscorp.com
Mary,Preston,Projects,Greenville,SC,user,512,"CN=Mary Preston,CN=Users,DC=ABSCorp,DC=com",MPreston,Mary Preston,Mary Preston,MPreston@abscorp.com,MPreston@abscorp.com
Sharon,Preston,Projects,Greenville,SC,user,512,"CN=Sharon Preston,CN=Users,DC=ABSCorp,DC=com",SPreston,Sharon Preston,Sharon Preston,SPreston@abscorp.com,SPreston@abscorp.com
Dale,Reilly,IT,Greenville,SC,user,512,"CN=Dale Reilly,CN=Users,DC=ABSCorp,DC=com",DReilly,Dale Reilly,Dale Reilly,DReilly@abscorp.com,DReilly@abscorp.com
Amy,Reyes,Projects,Greenville,SC,user,512,"CN=Amy Reyes,CN=Users,DC=ABSCorp,DC=com",AReyes,Amy Reyes,Amy Reyes,AReyes@abscorp.com,AReyes@abscorp.com
Evelyn,Reyes,Projects,Greenville,SC,user,512,"CN=Evelyn Reyes,CN=Users,DC=ABSCorp,DC=com",EReyes,Evelyn Reyes,Evelyn Reyes,EReyes@abscorp.com,EReyes@abscorp.com
Tyrone,Richards,IT,Greenville,SC,user,512,"CN=Tyrone Richards,CN=Users,DC=ABSCorp,DC=com",TRichards,Tyrone Richards,Tyrone Richards,TRichards@abscorp.com,TRichards@abscorp.com
Barbara,Rivera,Sales,Greenville,SC,user,512,"CN=Barbara Rivera,CN=Users,DC=ABSCorp,DC=com",BRivera,Barbara Rivera,Barbara Rivera,BRivera@abscorp.com,BRivera@abscorp.com
Patrick,Robbins,Projects,Greenville,SC,user,512,"CN=Patrick Robbins,CN=Users,DC=ABSCorp,DC=com",PRobbins,Patrick Robbins,Patrick Robbins,PRobbins@abscorp.com,PRobbins@abscorp.com
Leonard,Robles,Projects,Greenville,SC,user,512,"CN=Leonard Robles,CN=Users,DC=ABSCorp,DC=com",LRobles,Leonard Robles,Leonard Robles,LRobles@abscorp.com,LRobles@abscorp.com
Colleen,Rodriguez,Projects,Greenville,SC,user,512,"CN=Colleen Rodriguez,CN=Users,DC=ABSCorp,DC=com",CRodriguez,Colleen Rodriguez,Colleen Rodriguez,CRodriguez@abscorp.com,CRodriguez@abscorp.com
Earl,Rodriguez,Projects,Greenville,SC,user,512,"CN=Earl Rodriguez,CN=Users,DC=ABSCorp,DC=com",ERodriguez,Earl Rodriguez,Earl Rodriguez,ERodriguez@abscorp.com,ERodriguez@abscorp.com
Gary,Rodriguez,Projects,Greenville,SC,user,512,"CN=Gary Rodriguez,CN=Users,DC=ABSCorp,DC=com",GRodriguez,Gary Rodriguez,Gary Rodriguez,GRodriguez@abscorp.com,GRodriguez@abscorp.com
Judy,Rodriguez,Projects,Greenville,SC,user,512,"CN=Judy Rodriguez,CN=Users,DC=ABSCorp,DC=com",JRodriguez,Judy Rodriguez,Judy Rodriguez,JRodriguez@abscorp.com,JRodriguez@abscorp.com
Natalie,Roman,Management,Greenville,SC,user,512,"CN=Natalie Roman,CN=Users,DC=ABSCorp,DC=com",NRoman,Natalie Roman,Natalie Roman,NRoman@abscorp.com,NRoman@abscorp.com
Alexander,Romero,Projects,Greenville,SC,user,512,"CN=Alexander Romero,CN=Users,DC=ABSCorp,DC=com",ARomero,Alexander Romero,Alexander Romero,ARomero@abscorp.com,ARomero@abscorp.com
Amanda,Romero,Sales,Greenville,SC,user,512,"CN=Amanda Romero,CN=Users,DC=ABSCorp,DC=com",ARomero,Amanda Romero,Amanda Romero,ARomero@abscorp.com,ARomero@abscorp.com
Harry,Ross,Management,Greenville,SC,user,512,"CN=Harry Ross,CN=Users,DC=ABSCorp,DC=com",HRoss,Harry Ross,Harry Ross,HRoss@abscorp.com,HRoss@abscorp.com
John,Rubio,Projects,Greenville,SC,user,512,"CN=John Rubio,CN=Users,DC=ABSCorp,DC=com",JRubio,John Rubio,John Rubio,JRubio@abscorp.com,JRubio@abscorp.com
Matthew,Schaefer,Projects,Greenville,SC,user,512,"CN=Matthew Schaefer,CN=Users,DC=ABSCorp,DC=com",MSchaefer,Matthew Schaefer,Matthew Schaefer,MSchaefer@abscorp.com,MSchaefer@abscorp.com
Mary,Shannon,Management,Greenville,SC,user,512,"CN=Mary Shannon,CN=Users,DC=ABSCorp,DC=com",MShannon,Mary Shannon,Mary Shannon,MShannon@abscorp.com,MShannon@abscorp.com
David,Shepherd,Projects,Greenville,SC,user,512,"CN=David Shepherd,CN=Users,DC=ABSCorp,DC=com",DShepherd,David Shepherd,David Shepherd,DShepherd@abscorp.com,DShepherd@abscorp.com
Mary,Shepherd,Projects,Greenville,SC,user,512,"CN=Mary Shepherd,CN=Users,DC=ABSCorp,DC=com",MShepherd,Mary Shepherd,Mary Shepherd,MShepherd@abscorp.com,MShepherd@abscorp.com
Michelle,Silva,Projects,Greenville,SC,user,512,"CN=Michelle Silva,CN=Users,DC=ABSCorp,DC=com",MSilva,Michelle Silva,Michelle Silva,MSilva@abscorp.com,MSilva@abscorp.com
Josephine,Simmons,Management,Greenville,SC,user,512,"CN=Josephine Simmons,CN=Users,DC=ABSCorp,DC=com",JSimmons,Josephine Simmons,Josephine Simmons,JSimmons@abscorp.com,JSimmons@abscorp.com
Robert,Simmons,Projects,Greenville,SC,user,512,"CN=Robert Simmons,CN=Users,DC=ABSCorp,DC=com",RSimmons,Robert Simmons,Robert Simmons,RSimmons@abscorp.com,RSimmons@abscorp.com
Brian,Smith,Management,Greenville,SC,user,512,"CN=Brian Smith,CN=Users,DC=ABSCorp,DC=com",BSmith,Brian Smith,Brian Smith,BSmith@abscorp.com,BSmith@abscorp.com
Cynthia,Smith,Projects,Greenville,SC,user,512,"CN=Cynthia Smith,CN=Users,DC=ABSCorp,DC=com",CSmith,Cynthia Smith,Cynthia Smith,CSmith@abscorp.com,CSmith@abscorp.com
Tom,Smith,Projects,Greenville,SC,user,512,"CN=Tom Smith,CN=Users,DC=ABSCorp,DC=com",TSmith,Tom Smith,Tom Smith,TSmith@abscorp.com,TSmith@abscorp.com
Michelle,Smith,Sales,Greenville,SC,user,512,"CN=Michelle Smith,CN=Users,DC=ABSCorp,DC=com",MSmith,Michelle Smith,Michelle Smith,MSmith@abscorp.com,MSmith@abscorp.com
Mary,Soto,Projects,Greenville,SC,user,512,"CN=Mary Soto,CN=Users,DC=ABSCorp,DC=com",MSoto,Mary Soto,Mary Soto,MSoto@abscorp.com,MSoto@abscorp.com
Bradley,Sparks,Projects,Greenville,SC,user,512,"CN=Bradley Sparks,CN=Users,DC=ABSCorp,DC=com",BSparks,Bradley Sparks,Bradley Sparks,BSparks@abscorp.com,BSparks@abscorp.com
Lewis,Stephens,IT,Greenville,SC,user,512,"CN=Lewis Stephens,CN=Users,DC=ABSCorp,DC=com",LStephens,Lewis Stephens,Lewis Stephens,LStephens@abscorp.com,LStephens@abscorp.com
Mary,Stevens,IT,Greenville,SC,user,512,"CN=Mary Stevens,CN=Users,DC=ABSCorp,DC=com",MStevens,Mary Stevens,Mary Stevens,MStevens@abscorp.com,MStevens@abscorp.com
Sidney,Stone,Projects,Greenville,SC,user,512,"CN=Sidney Stone,CN=Users,DC=ABSCorp,DC=com",SStone,Sidney Stone,Sidney Stone,SStone@abscorp.com,SStone@abscorp.com
Janet,Stuart,Projects,Greenville,SC,user,512,"CN=Janet Stuart,CN=Users,DC=ABSCorp,DC=com",JStuart,Janet Stuart,Janet Stuart,JStuart@abscorp.com,JStuart@abscorp.com
Lisa,Thomas,Projects,Greenville,SC,user,512,"CN=Lisa Thomas,CN=Users,DC=ABSCorp,DC=com",LThomas,Lisa Thomas,Lisa Thomas,LThomas@abscorp.com,LThomas@abscorp.com
James,Valdez,Projects,Greenville,SC,user,512,"CN=James Valdez,CN=Users,DC=ABSCorp,DC=com",JValdez,James Valdez,James Valdez,JValdez@abscorp.com,JValdez@abscorp.com
Allan,Vargas,Projects,Greenville,SC,user,512,"CN=Allan Vargas,CN=Users,DC=ABSCorp,DC=com",AVargas,Allan Vargas,Allan Vargas,AVargas@abscorp.com,AVargas@abscorp.com
Mary,Walter,IT,Greenville,SC,user,512,"CN=Mary Walter,CN=Users,DC=ABSCorp,DC=com",MWalter,Mary Walter,Mary Walter,MWalter@abscorp.com,MWalter@abscorp.com
Linda,Walton,Projects,Greenville,SC,user,512,"CN=Linda Walton,CN=Users,DC=ABSCorp,DC=com",LWalton,Linda Walton,Linda Walton,LWalton@abscorp.com,LWalton@abscorp.com
Deborah,Warner,Projects,Greenville,SC,user,512,"CN=Deborah Warner,CN=Users,DC=ABSCorp,DC=com",DWarner,Deborah Warner,Deborah Warner,DWarner@abscorp.com,DWarner@abscorp.com
Dorothy,Werner,Management,Greenville,SC,user,512,"CN=Dorothy Werner,CN=Users,DC=ABSCorp,DC=com",DWerner,Dorothy Werner,Dorothy Werner,DWerner@abscorp.com,DWerner@abscorp.com
Mary,Wilcox,Management,Greenville,SC,user,512,"CN=Mary Wilcox,CN=Users,DC=ABSCorp,DC=com",MWilcox,Mary Wilcox,Mary Wilcox,MWilcox@abscorp.com,MWilcox@abscorp.com
William,Williams,Projects,Greenville,SC,user,512,"CN=William Williams,CN=Users,DC=ABSCorp,DC=com",WWilliams,William Williams,William Williams,WWilliams@abscorp.com,WWilliams@abscorp.com
Glenn,Wright,Projects,Greenville,SC,user,512,"CN=Glenn Wright,CN=Users,DC=ABSCorp,DC=com",GWright,Glenn Wright,Glenn Wright,GWright@abscorp.com,GWright@abscorp.com
Carol,Wyatt,Projects,Greenville,SC,user,512,"CN=Carol Wyatt,CN=Users,DC=ABSCorp,DC=com",CWyatt,Carol Wyatt,Carol Wyatt,CWyatt@abscorp.com,CWyatt@abscorp.com
Linda,Yates,Projects,Greenville,SC,user,512,"CN=Linda Yates,CN=Users,DC=ABSCorp,DC=com",LYates,Linda Yates,Linda Yates,LYates@abscorp.com,LYates@abscorp.com
Judith,Zamora,Projects,Greenville,SC,user,512,"CN=Judith Zamora,CN=Users,DC=ABSCorp,DC=com",JZamora,Judith Zamora,Judith Zamora,JZamora@abscorp.com,JZamora@abscorp.com
